project_code,level1,level1_weight,level2,level2_weight,activity,activity_weight,unit,quantity_total,planned_start,planned_finish,active
TEMPLATE,Ingegneria,10,,100,Prima Emissione PE,20,n°,1.00,2025-11-01,2025-12-01,true
TEMPLATE,Ingegneria,10,,100,Emissione Finale PE,10,n°,1.00,2025-12-01,2025-12-31,true
TEMPLATE,Ingegneria,10,,100,As built e fascicolo finale,5,n°,1.00,2025-07-30,2025-07-30,true
TEMPLATE,Ingegneria,10,,100,Prima Emissione PE Opere di Rete,20,n°,1.00,2025-11-01,2025-12-01,true
TEMPLATE,Ingegneria,10,,100,Emissione Finale PE Opere di Rete,10,n°,1.00,2025-12-01,2025-12-31,true
TEMPLATE,Ingegneria,10,,100,As built e fascicolo finale Opere di Rete,5,n°,1.00,2026-07-20,2026-07-20,true
TEMPLATE,Ingegneria,10,,100,RDE,5,n°,1.00,2026-07-20,2026-07-20,true
TEMPLATE,Ingegneria,10,,100,Validazione RDE,5,n°,1.00,2026-07-31,2026-07-31,true
TEMPLATE,Ingegneria,10,,100,POT,5,n°,1.00,2025-09-24,2025-09-26,true
TEMPLATE,Ingegneria,10,,100,Rilievi topografici,5,n°,1.00,2025-11-01,2025-12-01,true
TEMPLATE,Ingegneria,10,,100,Relazioni specialistiche,10,n°,1.00,2025-12-01,2025-12-31,true
TEMPLATE,Procurement,15,,100,Ordine Moduli,5,n°,1,2025-12-15,2025-12-15,true
TEMPLATE,Procurement,15,,100,Ordine Inverter,5,n°,1,2026-01-31,2026-01-31,true
TEMPLATE,Procurement,15,,100,Ordine Strutture,15,n°,1,2025-11-30,2025-11-30,true
TEMPLATE,Procurement,15,,100,Ordine Shelter,10,n°,1,2025-12-15,2025-12-15,true
TEMPLATE,Procurement,15,,100,Ordine Cabinati,5,n°,1,2025-12-15,2025-12-15,true
TEMPLATE,Procurement,15,,100,Ordine Materiale Elettrico,20,n°,1,2026-01-01,2026-02-28,true
TEMPLATE,Procurement,15,,100,Ordine per Subappalto,40,n°,1,2025-12-01,2025-12-31,true
TEMPLATE,Construction,75,Opere Civili,10,Recinzione,15,ml,1310.00,2026-02-09,2026-03-03,true
TEMPLATE,Construction,75,Opere Civili,10,Cancelli,2,n°,1.00,2026-03-02,2026-03-03,true
TEMPLATE,Construction,75,Opere Civili,10,Fondazioni cabine,10,n°,4.00,2026-03-30,2026-04-24,true
TEMPLATE,Construction,75,Opere Civili,10,Scavi e reinterri per cavi stringa,10,ml,467.00,2026-03-16,2026-04-06,true
TEMPLATE,Construction,75,Opere Civili,10,Scavi per cavi MT/BT,10,ml,823.00,2026-03-23,2026-04-10,true
TEMPLATE,Construction,75,Opere Civili,10,Reinterri per cavi MT/BT,10,ml,823.00,2026-04-06,2026-04-24,true
TEMPLATE,Construction,75,Opere Civili,10,Scavi e reinterri perimetrale,3,ml,1295.00,2026-03-16,2026-04-01,true
TEMPLATE,Construction,75,Opere Civili,10,Opere di regimentazione idraulica,0,mc,0.00,,,true
TEMPLATE,Construction,75,Opere Civili,10,Opere di mitigazione,5,ml,1310.00,2026-05-19,2026-06-08,true
TEMPLATE,Construction,75,Opere Civili,10,Viabilità interna,5,mq,511.00,2026-04-10,2026-05-18,true
TEMPLATE,Construction,75,Opere Civili,10,Posa plinti portapali e pali,5,n°,34.00,2026-03-16,2026-04-01,true
TEMPLATE,Construction,75,Opere Civili,10,Spostamento Ulivi,10,n°,250.00,2026-02-09,2026-02-27,true
TEMPLATE,Construction,75,Opere Civili,10,Sbancamenti e reinterri,15,mc,3480.00,2026-02-16,2026-03-10,true
TEMPLATE,Construction,75,Opere Meccaniche,30,Pre-fori,0,n°,0.00,,,true
TEMPLATE,Construction,75,Opere Meccaniche,30,Battitura Pali,40,n°,858.00,2026-02-18,2026-03-31,true
TEMPLATE,Construction,75,Opere Meccaniche,30,Sovrastrutture tipo 1,30,n°,286.00,2026-03-16,2026-05-01,true
TEMPLATE,Construction,75,Opere Meccaniche,30,Sovrastrutture tipo 2,0,n°,0.00,,,true
TEMPLATE,Construction,75,Opere Meccaniche,30,Montaggio Moduli,25,n°,7436.00,2026-04-02,2026-06-10,true
TEMPLATE,Construction,75,Opere Meccaniche,30,Montaggio Strutture Inverter,5,n°,17.00,2026-05-04,2026-05-15,true
TEMPLATE,Construction,75,Opere Elettriche,38,Stringatura moduli (numero stringhe),10,n°,286.00,2026-05-07,2026-07-01,true
TEMPLATE,Construction,75,Opere Elettriche,38,Montaggio e cablaggio Inverter,10,n°,17.00,2026-05-18,2026-06-16,true
TEMPLATE,Construction,75,Opere Elettriche,38,Predisposizione Cabina Utente,5,n°,1.00,2026-04-21,2026-05-01,true
TEMPLATE,Construction,75,Opere Elettriche,38,Cablaggi Cabina Utente,10,n°,1.00,2026-04-21,2026-05-21,true
TEMPLATE,Construction,75,Opere Elettriche,38,Stesura Cavi BT Inverter,10,ml,6488.00,2026-03-30,2026-04-27,true
TEMPLATE,Construction,75,Opere Elettriche,38,Stesura Cavi BT,10,ml,404.00,2026-03-30,2026-04-20,true
TEMPLATE,Construction,75,Opere Elettriche,38,Stesura Cavi segnale,5,ml,1966.00,2026-04-21,2026-05-04,true
TEMPLATE,Construction,75,Opere Elettriche,38,Stesura cavo TVCC e illuminazione,5,ml,6253.00,2026-05-14,2026-05-15,true
TEMPLATE,Construction,75,Opere Elettriche,38,Stesura Cavi MT,10,ml,402.00,2026-04-06,2026-04-13,true
TEMPLATE,Construction,75,Opere Elettriche,38,Installazione e cablaggio sistema monitoraggio,5,nr,1.00,2026-07-16,2026-07-29,true
TEMPLATE,Construction,75,Opere Elettriche,38,Installazione e cablaggio sistema di monitoraggio Agri,5,nr,15.00,2026-07-16,2026-07-29,true
TEMPLATE,Construction,75,Opere Elettriche,38,Installazione e cablaggio TVCC e illuminazione,5,nr,34.00,2026-05-06,2026-05-12,true
TEMPLATE,Construction,75,Opere Elettriche,38,Installazione e cablaggio quadri rete,5,nr,4.00,2026-04-15,2026-04-30,true
TEMPLATE,Construction,75,Opere Elettriche,38,Impianto di terra (cavo+corda),5,ml,827.00,2026-04-06,2026-05-10,true
TEMPLATE,Construction,75,Collaudi e Commissioning,6,Collaudo Tracker,20,nr,286,2026-07-20,2026-07-31,true
TEMPLATE,Construction,75,Collaudi e Commissioning,6,Collaudo Rete e TVCC,20,nr,1,2026-05-15,2026-06-30,true
TEMPLATE,Construction,75,Collaudi e Commissioning,6,Taratura SPG/SPI,10,nr,1,2026-07-20,2026-07-31,true
TEMPLATE,Construction,75,Collaudi e Commissioning,6,Configurazione Inverter e monitoraggio,10,nr,1,2026-09-01,2026-09-09,true
TEMPLATE,Construction,75,Collaudi e Commissioning,6,Verifica Resistenza di Terra,10,nr,1,2026-06-03,2026-06-06,true
TEMPLATE,Construction,75,Collaudi e Commissioning,6,Configurazione CCI,10,nr,1,2026-07-20,2026-07-31,true
TEMPLATE,Construction,75,Collaudi e Commissioning,6,Collaudo elettrico impianto (PR),20,nr,1,2026-09-01,2026-09-09,true
TEMPLATE,Construction,75,Opere di Rete,16,Scavi e reinterri,20,ml,2350,2026-04-13,2026-05-15,true
TEMPLATE,Construction,75,Opere di Rete,16,TOC,20,ml,380,2026-04-30,2026-05-17,true
TEMPLATE,Construction,75,Opere di Rete,16,Stesura Cavo,15,ml,2500,2026-05-15,2026-06-11,true
TEMPLATE,Construction,75,Opere di Rete,16,Ripristini manto stradale,0,ml,0,,,true
TEMPLATE,Construction,75,Opere di Rete,16,Allestimento cabina consegna/sezionamento,15,n°,1,2026-06-01,2026-06-11,true
TEMPLATE,Construction,75,Opere di Rete,16,Collaudo Opere di Rete,15,n°,1,2026-06-12,2026-06-12,true
TEMPLATE,Construction,75,Opere di Rete,16,Lavori in Cabina Primaria,15,n°,1,2026-06-01,2026-06-11,true
